HOMD.org Taxon Data::No Filter Applied Date: 2025-05-15			
HMT-ID	Genus	Species	NCBI Taxon ID
HMT-619	Porphyromonas	gingivalis	837
HMT-621	Neisseria	gonorrhoeae	485
HMT-622	Streptococcus	gordonii	1302
HMT-623	Campylobacter	gracilis	824
HMT-626	Gemella	haemolysans	1379
HMT-627	Capnocytophaga	haemolytica	45243
HMT-630	Bacteroides	heparinolyticus	28113
HMT-632	Metamycoplasma	hominis	2098
HMT-633	Cardiobacterium	hominis	2718
HMT-634	Enterobacter	hormaechei	158836
HMT-635	Johnsonella	ignava	43995
HMT-638	Streptococcus	infantis	68892
HMT-639	Selenomonas	infelix	135082
HMT-641	Haemophilus	influenzae	727
HMT-642	Scardovia	inopinata	78259
HMT-643	Prevotella	intermedia	28131
HMT-644	Streptococcus	intermedius	1338
HMT-645	Actinomyces	israelii	1659
HMT-646	Kingella	kingae	504
HMT-649	Neisseria	lactamica	486
HMT-653	Treponema	lecithinolyticum	53418
HMT-654	Eggerthella	lenta	84112
HMT-655	Eubacterium	limosum	1736
HMT-656	Mycoplasmopsis	lipophila	2117
HMT-658	Hoylesella	loescheii	840
HMT-659	Mesorhizobium	japonicum	2066070
HMT-660	Aquamicrobium	lusatiense	89772
HMT-662	Finegoldia	magna	1260
HMT-663	Stenotrophomonas	maltophilia	40324
HMT-664	Treponema	maltophilum	51160
HMT-665	Hoylesella	marshii	189722
HMT-666	Corynebacterium	matruchotii	43768
HMT-667	Treponema	medium	58231
HMT-669	Neisseria	meningitidis	487
HMT-671	Schaalia	meyeri	52773
HMT-673	Hornefia	minuta	186804
HMT-674	Atopobium	minutum	1381
HMT-676	Proteus	mirabilis	584
HMT-677	Streptococcus	mitis	28037
HMT-678	Solobacterium	moorei	102148
HMT-681	Rothia	mucilaginosa	43675
HMT-682	Neisseria	mucosa	488
