HMT-756_16S000389	HMT-756	Ligilactobacillus salivarius 1624
HMT-779_16S000390	HMT-779	Veillonella sp. 0
HMT-756_16S000391	HMT-756	Ligilactobacillus salivarius 1624
HMT-780_16S000392	HMT-780	Veillonella sp. 671229
HMT-604_16S000393	HMT-604	Enterococcus faecalis 1351
HMT-756_16S000394	HMT-756	Ligilactobacillus salivarius 1624
HMT-604_16S000395	HMT-604	Enterococcus faecalis 1351
HMT-756_16S000396	HMT-756	Ligilactobacillus salivarius 1624
HMT-604_16S000397	HMT-604	Enterococcus faecalis 1351
HMT-880_16S000398	HMT-880	Enterococcus durans 53345
HMT-779_16S000399	HMT-779	Veillonella sp. 0
HMT-756_16S000400	HMT-756	Ligilactobacillus salivarius 1624
HMT-780_16S000401	HMT-780	Veillonella sp. 671229
HMT-485_16S000402	HMT-485	Agrobacterium tumefaciens 358
HMT-158_16S000403	HMT-158	Veillonella rogosae 423477
HMT-849_16S000404	HMT-849	Actinomyces johnsonii 544581
HMT-176_16S000405	HMT-176	Actinomyces naeslundii 1655
HMT-780_16S000406	HMT-780	Veillonella sp. 671229
HMT-604_16S000407	HMT-604	Enterococcus faecalis 1351
HMT-176_16S000408	HMT-176	Actinomyces naeslundii 1655
HMT-780_16S000409	HMT-780	Veillonella sp. 671229
HMT-779_16S000410	HMT-779	Veillonella sp. 0
HMT-756_16S000411	HMT-756	Ligilactobacillus salivarius 1624
HMT-779_16S000412	HMT-779	Veillonella sp. 0
HMT-780_16S000413	HMT-780	Veillonella sp. 671229
HMT-604_16S000414	HMT-604	Enterococcus faecalis 1351
HMT-176_16S000415	HMT-176	Actinomyces naeslundii 1655
HMT-756_16S000416	HMT-756	Ligilactobacillus salivarius 1624
HMT-756_16S000417	HMT-756	Ligilactobacillus salivarius 1624
HMT-756_16S000418	HMT-756	Ligilactobacillus salivarius 1624
HMT-801_16S000419	HMT-801	Enterococcus casseliflavus 37734
HMT-880_16S000420	HMT-880	Enterococcus durans 53345
HMT-756_16S000421	HMT-756	Ligilactobacillus salivarius 1624
HMT-801_16S000422	HMT-801	Enterococcus casseliflavus 37734
HMT-801_16S000423	HMT-801	Enterococcus casseliflavus 37734
HMT-176_16S000424	HMT-176	Actinomyces naeslundii 1655
HMT-756_16S000425	HMT-756	Ligilactobacillus salivarius 1624
HMT-756_16S000426	HMT-756	Ligilactobacillus salivarius 1624
HMT-801_16S000427	HMT-801	Enterococcus casseliflavus 37734
HMT-756_16S000428	HMT-756	Ligilactobacillus salivarius 1624
HMT-880_16S000429	HMT-880	Enterococcus durans 53345
HMT-756_16S000430	HMT-756	Ligilactobacillus salivarius 1624
HMT-756_16S000431	HMT-756	Ligilactobacillus salivarius 1624
HMT-756_16S000432	HMT-756	Ligilactobacillus salivarius 1624
HMT-756_16S000433	HMT-756	Ligilactobacillus salivarius 1624
HMT-756_16S000434	HMT-756	Ligilactobacillus salivarius 1624
HMT-880_16S000435	HMT-880	Enterococcus durans 53345
HMT-880_16S000436	HMT-880	Enterococcus durans 53345
HMT-880_16S000437	HMT-880	Enterococcus durans 53345
HMT-176_16S000438	HMT-176	Actinomyces naeslundii 1655
HMT-756_16S000439	HMT-756	Ligilactobacillus salivarius 1624
